id,locationId,name,status,start_date,capacity,elevation,socket:nacs:output,socket:type1_combo:output,facilityName,ref:plugshare,address.street,addr:city,addr:state,addr:postcode,addr:country,Latitude,Longitude,access,access:conditional,socket:nacs,capacity:disabled,socket:type1_combo,capacity
7386,32491,Tesla Supercharger,OPEN,2024-01-31,12,148,250,,,,615 Landmark Pointe Blvd,Gray,GA,31032,US,32.988704,-83.56883,yes,,12,,,12
5326,19350,Tesla Supercharger,OPEN,2022-11-20,12,309,250,,,,1570 Holcomb Bridge Rd,Roswell,GA,30076,US,34.019005,-84.312888,yes,,12,,,12
7443,19294,Tesla Supercharger,OPEN,2024-02-06,12,381,250,,,,3446 Winder Hwy,Flowery Branch,GA,30542,US,34.216749,-83.862837,yes,,12,,,12
8955,58916,Tesla Supercharger,OPEN,2024-12-16,16,347,325,,Chili's Grill & Bar,,11720 Medlock Bridge Rd,Johns Creek,GA,30097,US,34.067816,-84.168792,yes,,16,1,,16
6473,gainesvillega,Tesla Supercharger,OPEN,2023-12-21,16,359,250,,,,1943 Jesse Jewell NE Pkwy,Gainesville,GA,30501,US,34.316069,-83.797249,yes,,16,1,,16
6631,27271,Tesla Supercharger,OPEN,2023-07-29,8,220,250,,,,196 Alps Rd,Athens,GA,30606,US,33.947718,-83.410259,yes,,8,,,8
5776,MariettaGAQ322,Tesla Supercharger,OPEN,2023-03-15,12,326,250,,,,3625 Dallas Highway,Marietta,GA,30064,US,33.953257,-84.657297,yes,,12,,,12
5756,PoolerGAQ322,Tesla Supercharger,OPEN,2022-12-30,11,8,250,,,,907 US-80,Pooler,GA,31322,US,32.110766,-81.235803,yes,,11,,,11
5773,19307,Tesla Supercharger,OPEN,2023-04-25,8,317,250,,,,4475 Roswell Rd,Marietta,GA,30062,US,33.986776,-84.421616,yes,,8,,,8
5822,27244,Tesla Supercharger,OPEN,2023-09-12,8,299,250,,,,99 Krog St NE,Atlanta,GA,30307,US,33.757056,-84.363381,yes,,8,,,8
5904,27273,Tesla Supercharger,OPEN,2023-06-11,12,325,250,,,,3186 Lawrenceville-Suwanee Rd,Suwanee,GA,30024,US,34.03393,-84.052624,yes,,12,,,12
8960,58817,"Norcross - Live Oak Pkwy, GA",CONSTRUCTION,,16,317,325,,Shell,828996,6120 Live Oak Pkwy,Norcross,GA,30093,USA,33.906497,-84.203519,,,16,1,,
8973,27253,"Richmond Hill, GA",PLAN,,0,3,325,,Enmarket,,3651 US-17,Richmond Hill,GA,31324,USA,31.932094,-81.323147,,,,,,
8972,27401,"Savannah - Abercorn St, GA",CONSTRUCTION,,12,7,325,,Enson Market,829030,5501 Abercorn St,Savannah,GA,31405,USA,32.027084,-81.109245,,,12,1,,
8977,428953,"Augusta - Jimmie Dyess Pkwy, GA",CONSTRUCTION,,0,154,325,,Exxon,829097,4086 Jimmie Dyess Pkwy,Augusta,GA,30909,USA,33.479968,-82.128753,,,,,,
8954,58912,"Atlanta - Northside Drive NW, GA",PLAN,,0,283,325,,,,1042 Northside Drive NW,Atlanta,GA,30318,USA,33.783207,-84.408125,,,,,,
8975,27309,Tesla Supercharger,OPEN,2025-02-07,16,53,325,,Winn-Dixie,,1060 Lakes Blvd,Lake Park,GA,31636,US,30.681366,-83.217683,yes,,16,1,,16
8014,59154,Tesla Supercharger,OPEN,2024-08-30,8,282,325,,Starbucks,617386,3622 Cobb Pkwy NW,Acworth,GA,30101,US,34.044421,-84.695875,yes,,8,1,,8
9095,58942,"Brookhaven, GA",PLAN,,0,299,325,,,,655 Brookhaven Ave,Brookhaven,GA,30319,USA,33.872054,-84.335088,,,,,,
9093,400320,Tesla Supercharger,OPEN,2024-12-03,12,430,325,,Mully's Nacoochee Grill,,7275 S Main St,Helen,GA,30545,US,34.690983,-83.714392,yes,,12,1,,12
7593,59088,Tesla Supercharger,OPEN,2025-03-07,16,297,325,,,,3714 Roswell Rd,Atlanta,GA,30342,US,33.8569,-84.38285,yes,,16,,,16
8974,32164,"Brunswick - GA-99, GA",PLAN,,36,12,325,,Buc-ee's,,6900 GA-99,Brunswick,GA,31325,USA,31.302452,-81.483488,,,36,2,,
9097,30804,Tesla Supercharger,OPEN,2025-01-31,16,247,325,,Henry Town Center,,1950 Jonesboro Rd,McDonough,GA,30253,US,33.4663,-84.2189,yes,,16,1,,16
4519,AdairsvilleGAQ322,Tesla Supercharger,OPEN,2022-08-31,12,210,250,,Buc-ee's,,601 Union Grove Rd SE,Adairsville,GA,30103,US,34.440386,-84.91532,yes,,12,,,12
9902,27255,"Brunswick - Warren Mason Blvd, GA",PERMIT,,16,6,325,,Cracker Barrel Old Country Store,,211 Warren Mason Blvd,Brunswick,GA,31520,USA,31.218143,-81.523709,,,16,1,,
9858,437123,"Smyrna, GA",PLAN,,0,291,325,,Target,,2201 Cobb Pkwy SE,Smyrna,GA,30080,USA,33.897754,-84.480156,,,,,,
9730,59090,"Atlanta - Caroline St NE, GA",PLAN,,20,303,325,,Target,,1275 Caroline St NE,Atlanta,GA,30307,USA,33.756265,-84.347156,,,20,1,,
9819,32404,"Perry, GA",PLAN,,0,114,325,,Cracker Barrel Old Country Store,,101 Lect Dr,Perry,GA,31069,USA,32.447021,-83.752644,,,,,,
9786,429515,"Augusta - Robert C Daniel Jr Pkwy, GA",CONSTRUCTION,,16,109,325,,Target,795232,235 Robert C Daniel Jr Pkwy,Augusta,GA,30909,USA,33.490104,-82.080305,,,16,1,,
9892,33695,"Snellville, GA",PLAN,,0,319,325,,Target,,1905 Scenic Hwy N,Snellville,GA,30078,USA,33.873905,-84.015559,,,,,,
9904,461362,"Cumming - Peachtree Pkwy, GA",VOTING,,0,374,325,,Kroger,,1595 Peachtree Pkwy,Cumming,GA,30041,USA,34.123197,-84.170807,,,,,,
9891,428603,"Conyers, GA",PLAN,,0,273,325,,Cracker Barrel Old Country Store,,1182 Dogwood Dr SE,Conyers,GA,30012,USA,33.655111,-84.005929,,,,,,
7040,36083,Tesla Supercharger,OPEN,2023-11-07,16,259,325,325,,,3625 N Commerce Dr,East Point,GA,30344,US,33.655999,-84.504295,yes,,16,,16,16
3222,MariettaGAsupercharger,Tesla Supercharger,OPEN,2021-03-19,12,275,250,,,,3000 Windy Hill Rd SE,Marietta,GA,30067,US,33.90375,-84.465778,yes,,12,,,12
6893,33701,Tesla Supercharger,OPEN,2025-03-27,24,256,325,,,,135 Riverside Pkwy,Austell,GA,30168,US,33.770385,-84.557356,yes,,24,,,24
6927,59140,Tesla Supercharger,OPEN,2023-11-07,16,308,250,,Village at Peachtree Corners,,5270 Peachtree Pkwy,Peachtree Corners,GA,30092,US,33.977033,-84.215722,yes,,16,,,16
4066,18031,Tesla Supercharger,OPEN,2022-04-30,8,50,250,,Subway,,104 E Winthrope Ave,Millen,GA,30442,US,32.8032,-81.9486,yes,,8,,,8
5801,19313,Tesla Supercharger,OPEN,2023-02-16,8,274,250,,,,239 City Circle #1050,Peachtree City,GA,30269,US,33.396462,-84.593126,yes,,8,,,8
